elevation,diff_azimuth,Carrier-to-noise density ratio (cno) [dbHz],Estimated pseudorange measurement standard deviation (prStdev) [m],"NLOS (0 == no, 1 == yes, # == No Information)"
41.15369646,23.047278369434167,31,10.24,1
58.05533452,61.607213890565845,46,5.12,0
17.52735192,17.67082339056583,21,20.48,1
,,47,0.64,0
,,41,0.64,1
21.98251254,76.58637925726066,50,0.32,0
27.288658,56.23569814273934,45,1.28,0
85.1339848,42.69546765726068,40,2.56,0
32.53906037,76.92255055726065,22,40.96,1
7.730746889,21.812083772739346,44,0.32,0
30.21269768,30.639605702739345,38,20.48,0
50.59013981,53.399766257260666,44,2.56,0
48.10127468,67.71954304273936,21,40.96,1
14.49513355,5.464196742739347,47,10.24,1
35.44660877,88.85355965726063,44,10.24,0
76.74887999,29.195909792739343,40,10.24,1
41.15369644,23.075175902739343,31,20.48,1
58.05533451,61.579316357260666,40,5.12,0
17.52735191,17.64292585726065,21,20.48,1
,,47,0.64,0
,,41,0.64,1
21.98251253,76.56518815763536,49,0.32,0
27.28865799,56.25688924236464,46,1.28,0
85.13398479,42.67427655763538,32,20.48,1
32.53906036,76.90135945763535,47,2.56,0
30.21269766,30.660796802364644,23,20.48,1
50.5901398,53.37857515763537,44,0.32,0
48.10127467,67.74073414236466,38,20.48,0
14.49513353,5.485387842364645,47,2.56,0
35.44660876,88.83236855763533,21,40.96,1
17.75144409,40.68685175763534,50,5.12,1
76.74887999,29.21710089236464,48,10.24,0
41.15369643,23.096367002364644,39,10.24,1
58.0553345,61.55812525763537,39,5.12,0
17.52735189,17.621734757635352,22,20.48,1
,,46,0.64,0
,,41,0.64,1
21.98251252,76.5423513592803,50,0.32,0
27.28865798,56.279726040719694,44,1.28,0
85.13398479,42.65143975928032,32,20.48,1
32.53906035,76.87852265928029,45,2.56,0
7.730746866,21.8561116707197,23,20.48,1
30.21269765,30.683633600719705,44,0.64,0
50.59013979,53.35573835928031,35,20.48,0
48.10127466,67.76357094071972,43,2.56,0
14.49513352,5.508224640719703,21,40.96,1
35.44660875,88.80953175928028,47,5.12,1
17.75144408,40.66401495928028,42,10.24,0
76.74887999,29.2399376907197,39,10.24,1
41.15369642,23.119203800719703,34,20.48,1
58.05533449,61.53528845928031,43,10.24,0
17.52735188,17.598897959280293,22,20.48,1
,,46,0.64,0
,,41,0.64,1
21.98251251,76.53244404149007,49,0.32,0
27.28865797,56.28963335850993,43,1.28,0
85.13398479,42.641532441490085,31,10.24,1
32.53906034,76.86861534149006,46,1.28,0
7.730746856,21.866018988509936,23,20.48,1
30.21269764,30.69354091850994,44,0.64,0
50.59013979,53.34583104149007,38,20.48,0
48.10127465,67.77347825850995,45,2.56,0
14.49513351,5.51813195850994,21,40.96,1
35.44660874,88.79962444149004,46,5.12,1
17.75144407,40.65410764149004,46,10.24,0
76.74887998,29.249845008509936,45,10.24,1
41.15369641,23.12911111850994,34,10.24,1
58.05533448,61.52538114149007,41,5.12,0
17.52735187,17.588990641490057,22,20.48,1
,,45,0.64,0
,,39,0.64,1
21.9825125,76.49327494348358,50,0.32,0
27.28865796,56.328802456516414,45,1.28,0
85.13398479,42.6023633434836,31,20.48,1
32.53906034,76.82944624348357,43,1.28,0
7.730746848,21.905188086516414,24,20.48,1
30.21269764,30.73271001651642,45,0.64,0
50.59013978,53.30666194348359,38,20.48,0
48.10127465,67.81264735651644,47,2.56,0
14.4951335,5.557301056516423,21,40.96,1
35.44660873,88.76045534348356,47,5.12,0
17.75144406,40.61493854348356,50,5.12,0
76.74887998,29.28901410651642,36,10.24,1
41.15369641,23.168280216516425,31,10.24,1
58.05533448,61.48621204348359,38,5.12,0
17.52735186,17.549821543483574,22,20.48,1
,,46,0.64,0
,,42,0.64,1
21.98251249,76.46782172327357,49,0.32,0
27.28865796,56.35425567672642,43,1.28,0
85.13398479,42.57691012327359,47,2.56,0
32.53906033,76.80399302327356,24,20.48,1
7.730746841,21.93064130672643,35,81.92,1
30.21269763,30.758163236726432,43,0.64,0
50.59013978,53.28120872327358,31,10.24,0
48.10127464,67.83810057672645,43,2.56,0
14.4951335,5.582754276726433,21,40.96,1
35.44660873,88.73500212327355,44,5.12,0
18.59667823,82.83455327672641,38,10.24,0
76.74887998,29.31446732672643,40,10.24,1
41.1536964,23.193733436726436,34,10.24,1
58.05533447,61.46075882327358,40,5.12,1
17.52735185,17.524368323273563,22,20.48,1
,,46,0.64,0
,,42,0.64,1
21.98251249,76.42286069572054,51,0.32,0
27.28865795,56.39921670427945,44,1.28,0
85.13398479,42.53194909572056,31,20.48,1
32.53906032,76.75903199572053,48,1.28,0
7.730746836,21.975602334279458,25,20.48,1
30.21269762,30.80312426427946,37,81.92,1
50.59013977,53.23624769572055,42,0.64,0
48.10127464,67.88306160427948,35,20.48,0
14.49513349,5.627715304279462,46,2.56,0
35.44660872,88.69004109572052,21,40.96,1
18.59667823,82.87951430427944,42,5.12,0
17.75144405,40.54452429572052,38,10.24,0
76.74887998,29.35942835427946,47,5.12,0
41.15369639,23.23869446427946,33,10.24,1
58.05533447,61.41579779572055,38,5.12,1
17.52735185,17.479407295720534,22,20.48,1
,,46,0.64,0
,,41,0.64,1
21.98251248,76.36902243661922,50,0.32,0
27.28865795,56.45305496338078,45,1.28,0
85.13398479,42.47811083661924,46,2.56,0
32.53906032,76.70519373661921,25,20.48,1
7.730746829,22.029440593380784,34,81.92,1
30.21269762,30.856962523380787,43,0.64,0
50.59013977,53.18240943661922,35,20.48,0
48.10127463,67.9368998633808,46,2.56,0
14.49513348,5.681553563380788,21,40.96,1
35.44660871,88.63620283661919,45,2.56,0
18.59667822,82.93335256338077,39,10.24,0
76.74887998,29.413266613380785,43,5.12,0
41.15369639,23.292532723380788,37,20.48,1
58.05533446,61.36195953661922,35,5.12,1
17.52735184,17.42556903661921,22,20.48,1
,,48,0.32,0
,,41,0.64,1
21.98251247,76.29793395780513,50,0.32,0
27.28865794,56.52414344219487,46,1.28,0
85.13398479,42.40702235780515,41,2.56,0
32.53906031,76.63410525780512,26,20.48,1
7.730746822,22.100529072194878,34,40.96,1
30.21269761,30.92805100219488,43,0.64,0
50.59013976,53.111320957805134,31,20.48,0
48.10127463,68.00798834219489,47,2.56,0
14.49513348,5.752642042194879,21,40.96,1
35.44660871,88.5651143578051,47,2.56,0
18.59667821,83.00444104219486,46,5.12,0
76.74887997,29.484355092194875,46,5.12,0
41.15369638,23.36362120219488,34,20.48,1
58.05533446,61.290871057805134,39,10.24,1
17.52735183,17.35448055780512,22,20.48,1
,,48,0.32,0
,,38,0.64,1
21.98251247,76.26288429513028,50,0.32,0
27.28865793,56.55919310486972,43,1.28,0
85.13398479,42.371972695130296,47,2.56,0
32.53906031,76.59905559513027,25,40.96,1
7.730746818,22.135578734869725,36,40.96,1
30.21269761,30.963100664869728,44,0.64,0
50.59013976,53.07627129513028,38,20.48,0
48.10127462,68.04303800486974,47,2.56,0
14.49513347,5.787691704869729,22,40.96,1
35.4466087,88.53006469513025,44,2.56,0
18.59667821,83.0394907048697,45,5.12,0
76.74887997,29.51940475486973,40,5.12,0
41.15369638,23.39867086486973,34,20.48,1
58.05533446,61.25582139513028,41,10.24,0
17.52735183,17.319430895130267,23,20.48,1
,,46,0.32,0
,,35,0.64,1
21.98251246,76.23850225485484,49,0.32,0
27.28865793,56.58357514514516,44,1.28,0
85.13398479,42.347590654854855,29,20.48,1
32.5390603,76.57467355485483,47,2.56,0
7.730746812,22.15996077514517,25,20.48,1
30.2126976,30.98748270514517,38,40.96,1
50.59013975,53.05188925485484,44,0.64,0
48.10127462,68.06742004514518,35,20.48,0
14.49513347,5.81207374514517,44,2.56,0
35.4466087,88.50568265485481,22,40.96,1
18.5966782,83.06387274514515,40,5.12,0
17.75144402,40.36016585485481,40,5.12,0
76.74887997,29.543786795145166,39,10.24,0
41.15369637,23.42305290514517,34,20.48,1
58.05533445,61.23143935485484,40,5.12,0
17.52735182,17.295048854854826,23,20.48,1
,,44,0.32,0
,,37,0.64,1
21.98251246,76.23620267556947,50,0.32,0
27.28865792,56.585874724430525,47,1.28,0
85.13398479,42.34529107556949,28,20.48,1
32.5390603,76.57237397556946,52,2.56,0
7.730746806,22.16226035443053,31,20.48,1
30.2126976,30.98978228443053,38,40.96,1
50.59013975,53.04958967556948,43,0.64,0
48.10127461,68.06971962443055,31,10.24,0
14.49513346,5.814373324430534,48,2.56,0
35.44660869,88.50338307556945,22,40.96,1
18.5966782,83.06617232443051,41,10.24,0
17.75144401,40.35786627556945,41,5.12,0
76.74887997,29.54608637443053,46,10.24,0
41.15369637,23.425352484430533,37,20.48,1
58.05533445,61.22913977556948,42,5.12,0
17.52735182,17.292749275569463,23,20.48,1
,,46,0.64,0
,,35,1.28,1
21.98251245,76.29447634796043,50,0.32,0
27.28865791,56.52760105203957,48,1.28,0
85.13398479,42.403564747960445,29,20.48,1
32.53906028,76.63064764796042,43,2.56,0
7.730746794,22.103986682039576,24,20.48,1
30.21269758,30.93150861203958,37,20.48,1
50.59013974,53.10786334796043,44,0.64,0
48.1012746,68.0114459520396,30,10.24,1
14.49513345,5.75609965203958,47,2.56,0
35.44660868,88.5616567479604,22,40.96,1
18.59667818,83.00789865203956,43,10.24,1
17.751444,40.4161399479604,38,10.24,0
76.74887996,29.487812702039577,35,10.24,0
41.15369636,23.36707881203958,34,10.24,1
58.05533444,61.28741344796043,38,10.24,0
17.5273518,17.351022947960416,23,20.48,1
,,47,0.32,0
,,26,2.56,1
21.98251244,76.40741871106053,50,0.32,0
27.2886579,56.41465868893947,43,1.28,0
85.13398479,42.51650711106055,29,20.48,1
32.53906028,76.74359001106052,44,5.12,0
7.730746785,21.991044318939476,24,20.48,1
30.21269757,30.81856624893948,36,20.48,1
50.59013973,53.220805711060535,45,0.64,0
48.1012746,67.89850358893949,34,10.24,1
14.49513344,5.643157288939477,42,2.56,0
35.44660867,88.6745991110605,22,40.96,1
18.59667817,82.89495628893945,43,10.24,1
17.75144399,40.529082311060506,38,20.48,0
76.74887996,29.374870338939477,42,20.48,0
41.15369635,23.25413644893948,34,10.24,1
58.05533444,61.400355811060535,32,10.24,1
17.52735179,17.46396531106052,22,20.48,1
,,46,0.64,0
,,31,2.56,1
21.98251243,76.4982825693777,50,0.32,0
27.28865789,56.32379483062231,46,1.28,0
85.13398478,42.60737096937771,35,20.48,1
32.53906027,76.83445386937768,24,20.48,1
7.730746773,21.90018046062231,39,20.48,1
30.21269756,30.727702390622312,46,0.64,0
50.59013972,53.3116695693777,37,20.48,1
48.10127459,67.80763973062233,46,2.56,0
14.49513343,5.5522934306223135,23,40.96,1
35.44660866,88.76546296937767,44,10.24,1
18.59667816,82.80409243062229,39,10.24,0
76.74887996,29.28400648062231,36,10.24,0
41.15369634,23.163272590622316,36,10.24,1
58.05533443,61.4912196693777,37,20.48,1
17.52735178,17.554829169377683,22,20.48,1
,,45,0.64,0
,,31,5.12,1
21.98251241,76.58628458760404,49,0.32,0
27.28865788,56.23579281239596,48,1.28,0
85.13398478,42.69537298760406,33,20.48,1
32.53906025,76.92245588760403,43,10.24,1
7.73074676,21.81217844239596,24,20.48,1
30.21269755,30.639700372395964,38,10.24,1
50.59013971,53.39967158760405,46,0.64,0
48.10127458,67.71963771239598,35,20.48,1
14.49513341,5.464291412395966,40,5.12,0
35.44660865,88.85346498760401,23,40.96,1
18.59667815,82.71609041239594,42,10.24,1
17.75144397,40.70794818760402,50,5.12,0
76.74887995,29.19600446239596,38,10.24,0
41.15369633,23.075270572395965,33,10.24,1
58.05533442,61.57922168760405,34,20.48,1
17.52735177,17.64283118760403,22,40.96,1
,,46,0.32,0
,,30,10.24,1
21.9825124,76.67427909779144,50,0.32,0
27.28865786,56.14779830220856,46,0.64,0
85.13398478,42.78336749779146,30,20.48,1
32.53906024,77.01045039779143,42,10.24,1
7.730746745,21.72418393220856,24,20.48,1
30.21269754,30.551705862208564,36,20.48,1
50.5901397,53.48766609779145,45,0.64,0
48.10127456,67.63164320220858,35,20.48,1
14.4951334,5.376296902208566,42,10.24,0
35.44660864,88.94145949779141,24,40.96,1
18.59667813,82.62809590220854,40,5.12,1
17.75144395,40.79594269779142,46,5.12,0
76.74887995,29.10800995220856,38,10.24,0
41.15369631,22.987276062208565,33,10.24,1
58.05533441,61.66721619779145,37,20.48,1
17.52735175,17.73082569779143,22,20.48,1
,,47,0.32,0
,,30,10.24,1
21.98251237,76.80684046307977,50,0.32,0
27.28865784,56.01523693692023,47,0.64,0
85.13398478,42.915928863079785,34,10.24,1
32.53906021,77.14301176307976,43,10.24,1
7.730746719,21.59162256692024,24,20.48,1
30.21269751,30.41914449692024,38,10.24,1
50.59013968,53.62022746307977,46,0.64,0
48.10127454,67.49908183692025,39,20.48,1
14.49513337,5.243735536920241,43,5.12,0
35.44660861,89.07402086307974,23,40.96,1
18.5966781,82.49553453692022,46,5.12,1
17.75144392,40.92850406307974,45,10.24,0
76.74887994,28.97544858692024,41,10.24,0
41.15369629,22.85471469692024,33,20.48,1
58.05533439,61.79977756307977,34,20.48,1
17.52735173,17.863387063079756,22,20.48,1
,,48,0.32,0
,,29,10.24,1
21.98251235,76.92558272817166,50,0.32,0
27.28865782,55.896494671828336,46,0.64,0
85.13398478,43.03467112817168,30,10.24,1
32.5390602,77.26175402817165,47,5.12,1
7.7307467,21.47288030182834,24,20.48,1
30.21269749,30.300402231828343,32,10.24,1
50.59013967,53.73896972817167,44,0.64,0
48.10127453,67.38033957182836,38,20.48,1
14.49513335,5.124993271828345,45,5.12,0
35.4466086,89.19276312817163,23,40.96,1
18.59667808,82.37679227182832,35,5.12,1
17.7514439,41.04724632817164,45,10.24,0
76.74887994,28.85670632182834,41,10.24,0
41.15369627,22.735972431828344,33,20.48,1
58.05533438,61.91851982817167,30,20.48,0
17.5273517,17.982129328171652,22,20.48,1
,,47,0.32,0
,,28,10.24,1
21.98251233,77.1350168845587,50,0.32,0
27.2886578,55.6870605154413,46,1.28,0
85.13398477,43.24410528455872,30,10.24,1
32.53906018,77.47118818455868,46,5.12,0
7.730746679,21.263446145441307,25,20.48,1
30.21269747,30.09096807544131,38,10.24,1
50.59013965,53.9484038845587,45,0.64,0
48.10127451,67.17090541544133,31,20.48,1
14.49513333,4.915559115441312,45,5.12,0
35.44660858,89.40219728455867,23,40.96,1
18.59667806,82.16735811544129,40,5.12,1
17.75144388,41.25668048455867,37,5.12,0
76.74887993,28.647272165441308,38,10.24,0
41.15369625,22.52653827544131,32,20.48,1
58.05533436,62.1279539845587,34,20.48,0
17.52735168,18.191563484558685,22,20.48,1
,,46,0.32,0
,,27,10.24,1
21.98251231,77.39229976692536,50,0.32,0
27.28865778,55.42977763307464,44,1.28,0
85.13398477,43.50138816692538,34,10.24,1
32.53906016,77.72847106692535,44,5.12,0
7.730746658,21.00616326307464,24,20.48,1
30.21269745,29.833685193074643,31,10.24,1
50.59013964,54.20568676692537,45,0.64,0
48.1012745,66.91362253307466,38,20.48,0
14.49513331,4.658276233074645,41,5.12,0
35.44660856,89.65948016692533,24,40.96,1
18.59667804,81.91007523307462,41,5.12,1
17.75144386,41.51396336692534,31,10.24,1
76.74887992,28.38998928307464,38,20.48,0
41.15369623,22.269255393074644,32,20.48,1
58.05533435,62.38523686692537,36,10.24,0
17.52735166,18.448846366925352,22,40.96,1
,,46,0.32,0
,,27,20.48,1
21.98251228,77.75658808139815,50,0.32,0
27.28865774,55.06548931860185,44,1.28,0
85.13398477,43.86567648139817,30,20.48,1
7.730746623,20.641874948601853,48,5.12,0
30.21269742,29.469396878601856,24,20.48,1
50.59013961,54.56997508139816,34,10.24,1
48.10127447,66.54933421860187,45,0.64,0
14.49513327,4.293987918601857,37,10.24,0
35.44660852,89.97623151860188,42,10.24,0
18.596678,81.54578691860183,45,10.24,1
17.75144382,41.878251681398126,39,5.12,1
76.74887991,28.025700968601853,40,10.24,0
41.1536962,21.904967078601857,36,20.48,1
58.05533433,62.74952518139816,43,10.24,0
17.52735162,18.81313468139814,21,40.96,1
,,46,0.32,0
,,27,10.24,1
21.98251225,77.89390199269661,50,0.32,0
27.28865772,54.928175407303385,47,1.28,0
85.13398477,44.00299039269663,30,20.48,1
7.730746598,20.50456103730339,46,5.12,0
30.21269739,29.332082967303396,25,20.48,1
50.59013959,54.70728899269662,34,10.24,1
48.10127445,66.41202030730341,45,1.28,0
14.49513325,4.156674007303394,32,10.24,0
35.4466085,89.83891760730342,42,10.24,0
18.59667798,81.40847300730337,47,10.24,0
17.75144379,42.01556559269659,50,5.12,1
76.74887991,27.88838705730339,39,10.24,0
41.15369618,21.767653167303397,36,10.24,1
58.05533431,62.88683909269662,43,10.24,0
17.5273516,18.950448592696603,21,20.48,1
,,46,0.32,0
,,27,10.24,1
21.98251223,77.83985600646497,51,0.32,0
27.28865769,54.98222139353503,42,1.28,0
85.13398476,43.94894440646499,46,2.56,0
7.730746573,20.558607023535032,25,20.48,1
30.21269737,29.386128953535035,40,10.24,1
50.59013957,54.653243006464976,45,0.64,0
48.10127443,66.46606629353505,41,10.24,0
14.49513322,4.210719993535037,48,5.12,0
35.44660848,89.89296359353506,45,5.12,0
18.59667795,81.46251899353501,49,5.12,1
76.7488799,27.942433043535036,49,10.24,0
41.15369615,21.82169915353504,32,10.24,1
58.05533429,62.832793106464976,34,10.24,0
17.52735157,18.89640260646496,21,20.48,1
,,47,0.32,0
,,27,10.24,1
21.9825122,77.36340852113699,50,0.32,0
27.28865767,55.45866887886301,41,1.28,0
85.13398476,43.47249692113701,30,20.48,1
30.21269734,29.862576438863016,43,2.56,0
50.59013955,54.176795521137,25,20.48,1
48.10127441,66.94251377886303,41,10.24,1
14.4951332,4.687167478863017,45,0.64,0
35.44660845,89.63058892113696,37,10.24,0
18.59667792,81.938966478863,47,5.12,0
17.75144374,41.485072121136966,37,10.24,0
76.74887989,28.418880528863014,49,5.12,1
41.15369613,22.298146638863017,38,10.24,1
58.05533427,62.356345621137,34,10.24,0
17.52735154,18.41995512113698,22,20.48,1
,,46,0.32,0
21.98251218,76.24249927538722,51,0.32,0
27.28865764,56.57957812461278,34,2.56,0
85.13398476,42.35158767538724,47,2.56,0
30.21269732,30.983485684612788,25,20.48,1
50.59013954,53.05588627538722,35,10.24,1
48.10127439,68.0634230246128,45,0.64,0
14.49513317,5.808076724612789,42,10.24,0
35.44660843,88.50967967538719,49,5.12,0
18.59667789,83.05987572461277,39,10.24,0
76.74887988,29.539789774612785,45,5.12,0
41.15369611,23.41905588461279,46,5.12,1
58.05533426,61.23543637538722,37,10.24,0
17.52735152,17.299045875387208,23,20.48,1
,,46,0.32,0
21.98251215,74.3882939267379,51,0.32,0
27.28865762,58.433783473262096,37,5.12,0
85.13398475,40.49738232673792,30,20.48,1
7.730746495,24.0101691032621,44,2.56,0
30.21269729,32.837691033262104,25,20.48,1
50.59013952,51.20168092673791,38,10.24,1
48.10127437,69.91762837326212,45,0.64,0
14.49513315,7.662282073262105,32,10.24,0
35.44660841,86.65547432673787,50,2.56,0
18.59667787,84.91408107326208,44,10.24,1
17.75144369,38.50995752673788,42,5.12,0
76.74887987,31.3939951232621,49,5.12,1
41.15369608,25.273261233262104,33,40.96,1
58.05533424,59.38123102673791,34,10.24,0
17.52735149,15.444840526737892,23,20.48,1
,,48,0.32,0
21.98251212,71.65413498016653,51,0.32,0
27.28865759,61.167942419833466,45,5.12,0
85.13398475,37.76322338016655,29,20.48,1
30.21269727,35.57184997983347,43,2.56,0
50.5901395,48.46752198016654,26,10.24,1
48.10127435,72.65178731983349,38,10.24,1
14.49513312,10.396441019833476,45,0.64,0
35.44660838,83.9213153801665,40,10.24,0
18.59667784,87.64824001983345,48,2.56,0
17.75144366,35.77579858016651,47,10.24,1
76.74887987,34.12815406983347,41,5.12,0
41.15369606,28.007420179833478,47,5.12,1
58.05533422,56.64707208016654,39,10.24,0
17.52735146,12.710681580166522,23,20.48,1
,,48,0.32,0
21.9825121,68.08034019107004,50,0.32,0
27.28865757,64.74173720892996,46,5.12,0
85.13398475,34.189428591070055,45,2.56,0
7.730746442,30.31812283892997,25,10.24,1
30.21269724,39.14564476892997,34,20.48,1
50.59013948,44.89372719107004,46,0.64,0
48.10127432,76.22558210892998,40,10.24,0
14.49513309,13.97023580892997,41,2.56,0
35.44660836,80.34752059107001,46,5.12,1
18.59667781,88.77796519107005,40,10.24,0
76.74887986,37.70194885892997,37,10.24,1
41.15369603,31.58121496892997,36,20.48,1
58.0553342,53.07327729107004,38,10.24,0
17.52735143,9.136886791070026,24,10.24,1
