GPSWeek [weeks],GPSSecondsOfWeek [s],Carrier-to-noise density ratio (cno) [dbHz],"NLOS (0 == no, 1 == yes, # == No Information)"
1900,126642.19999997084,36,0
1900,126642.19999997084,43,1
1900,126642.19999997084,22,1
1900,126642.19999997084,38,0
1900,126642.19999997084,36,1
1900,126642.19999997084,32,0
1900,126642.19999997084,35,1
1900,126642.19999997084,33,1
1900,126642.19999997084,21,1
1900,126642.19999997084,47,0
1900,126642.19999997084,41,1
1900,126642.39999997083,49,0
1900,126642.39999997083,43,0
1900,126642.39999997083,45,0
1900,126642.39999997083,21,1
1900,126642.39999997083,34,1
1900,126642.39999997083,45,0
1900,126642.39999997083,35,0
1900,126642.39999997083,45,0
1900,126642.39999997083,22,1
1900,126642.39999997083,47,0
1900,126642.39999997083,43,1
1900,126642.39999997083,41,0
1900,126642.39999997083,35,1
1900,126642.39999997083,35,1
1900,126642.39999997083,21,1
1900,126642.39999997083,47,0
1900,126642.39999997083,39,1
1900,126642.59999997083,50,0
1900,126642.59999997083,46,0
1900,126642.59999997083,32,1
1900,126642.59999997083,42,0
1900,126642.59999997083,22,1
1900,126642.59999997083,34,1
1900,126642.59999997083,45,0
1900,126642.59999997083,38,0
1900,126642.59999997083,44,0
1900,126642.59999997083,22,1
1900,126642.59999997083,49,0
1900,126642.59999997083,46,1
1900,126642.59999997083,35,0
1900,126642.59999997083,35,1
1900,126642.59999997083,41,1
1900,126642.59999997083,21,1
1900,126642.59999997083,47,0
1900,126642.59999997083,41,1
1900,126642.79999997083,49,0
1900,126642.79999997083,46,0
1900,126642.79999997083,32,1
1900,126642.79999997083,51,0
1900,126642.79999997083,22,1
1900,126642.79999997083,30,1
1900,126642.79999997083,45,0
1900,126642.79999997083,38,0
1900,126642.79999997083,38,0
1900,126642.79999997083,22,1
1900,126642.79999997083,45,0
1900,126642.79999997083,47,1
1900,126642.79999997083,39,0
1900,126642.79999997083,32,1
1900,126642.79999997083,45,1
1900,126642.79999997083,21,1
1900,126642.79999997083,46,0
1900,126642.79999997083,41,1
1900,126642.99999997082,49,0
1900,126642.99999997082,42,0
1900,126642.99999997082,32,1
1900,126642.99999997082,49,0
1900,126642.99999997082,22,1
1900,126642.99999997082,34,1
1900,126642.99999997082,45,0
1900,126642.99999997082,33,0
1900,126642.99999997082,43,0
1900,126642.99999997082,22,1
1900,126642.99999997082,31,0
1900,126642.99999997082,42,1
1900,126642.99999997082,43,0
1900,126642.99999997082,31,1
1900,126642.99999997082,45,1
1900,126642.99999997082,21,1
1900,126642.99999997082,46,0
1900,126642.99999997082,41,1
1900,126643.29999997083,50,0
1900,126643.29999997083,46,0
1900,126643.29999997083,32,1
1900,126643.29999997083,45,0
1900,126643.29999997083,22,1
1900,126643.29999997083,35,1
1900,126643.29999997083,45,0
1900,126643.29999997083,34,0
1900,126643.29999997083,45,0
1900,126643.29999997083,22,1
1900,126643.29999997083,36,1
1900,126643.29999997083,38,0
1900,126643.29999997083,38,0
1900,126643.29999997083,49,0
1900,126643.29999997083,21,1
1900,126643.29999997083,48,0
1900,126643.29999997083,41,1
1900,126643.49999997082,49,0
1900,126643.49999997082,44,0
1900,126643.49999997082,49,0
1900,126643.49999997082,23,1
1900,126643.49999997082,35,1
1900,126643.49999997082,45,0
1900,126643.49999997082,37,0
1900,126643.49999997082,43,0
1900,126643.49999997082,21,1
1900,126643.49999997082,42,1
1900,126643.49999997082,39,0
1900,126643.49999997082,35,0
1900,126643.49999997082,31,1
1900,126643.49999997082,46,0
1900,126643.49999997082,21,1
1900,126643.49999997082,47,0
1900,126643.49999997082,41,1
1900,126643.69999997082,50,0
1900,126643.69999997082,45,0
1900,126643.69999997082,40,0
1900,126643.69999997082,22,1
1900,126643.69999997082,44,0
1900,126643.69999997082,38,0
1900,126643.69999997082,44,0
1900,126643.69999997082,21,1
1900,126643.69999997082,47,1
1900,126643.69999997082,44,0
1900,126643.69999997082,40,1
1900,126643.69999997082,31,1
1900,126643.69999997082,40,0
1900,126643.69999997082,21,1
1900,126643.69999997082,47,0
1900,126643.69999997082,41,1
1900,126643.89999997082,49,0
1900,126643.89999997082,46,0
1900,126643.89999997082,32,1
1900,126643.89999997082,47,0
1900,126643.89999997082,23,1
1900,126643.89999997082,44,0
1900,126643.89999997082,38,0
1900,126643.89999997082,47,0
1900,126643.89999997082,21,1
1900,126643.89999997082,50,1
1900,126643.89999997082,48,0
1900,126643.89999997082,39,1
1900,126643.89999997082,39,0
1900,126643.89999997082,22,1
1900,126643.89999997082,46,0
1900,126643.89999997082,41,1
1900,126644.09999997082,50,0
1900,126644.09999997082,44,0
1900,126644.09999997082,32,1
1900,126644.09999997082,45,0
1900,126644.09999997082,23,1
1900,126644.09999997082,44,0
1900,126644.09999997082,35,0
1900,126644.09999997082,43,0
1900,126644.09999997082,21,1
1900,126644.09999997082,47,1
1900,126644.09999997082,42,0
1900,126644.09999997082,39,1
1900,126644.09999997082,34,1
1900,126644.09999997082,43,0
1900,126644.09999997082,22,1
1900,126644.09999997082,46,0
1900,126644.09999997082,41,1
1900,126644.29999997081,49,0
1900,126644.29999997081,43,0
1900,126644.29999997081,31,1
1900,126644.29999997081,46,0
1900,126644.29999997081,23,1
1900,126644.29999997081,44,0
1900,126644.29999997081,38,0
1900,126644.29999997081,45,0
1900,126644.29999997081,21,1
1900,126644.29999997081,46,1
1900,126644.29999997081,46,0
1900,126644.29999997081,45,1
1900,126644.29999997081,34,1
1900,126644.29999997081,41,0
1900,126644.29999997081,22,1
1900,126644.29999997081,45,0
1900,126644.29999997081,39,1
1900,126644.49999997081,50,0
1900,126644.49999997081,45,0
1900,126644.49999997081,31,1
1900,126644.49999997081,43,0
1900,126644.49999997081,24,1
1900,126644.49999997081,45,0
1900,126644.49999997081,38,0
1900,126644.49999997081,47,0
1900,126644.49999997081,21,1
1900,126644.49999997081,47,0
1900,126644.49999997081,50,0
1900,126644.49999997081,36,1
1900,126644.49999997081,31,1
1900,126644.49999997081,38,0
1900,126644.49999997081,22,1
1900,126644.49999997081,46,0
1900,126644.49999997081,42,1
1900,126644.69999997081,49,0
1900,126644.69999997081,43,0
1900,126644.69999997081,47,0
1900,126644.69999997081,24,1
1900,126644.69999997081,35,1
1900,126644.69999997081,43,0
1900,126644.69999997081,31,0
1900,126644.69999997081,43,0
1900,126644.69999997081,21,1
1900,126644.69999997081,44,0
1900,126644.69999997081,38,0
1900,126644.69999997081,40,1
1900,126644.69999997081,34,1
1900,126644.69999997081,40,1
1900,126644.69999997081,22,1
1900,126644.69999997081,46,0
1900,126644.69999997081,42,1
1900,126644.8999999708,51,0
1900,126644.8999999708,44,0
1900,126644.8999999708,31,1
1900,126644.8999999708,48,0
1900,126644.8999999708,25,1
1900,126644.8999999708,37,1
1900,126644.8999999708,42,0
1900,126644.8999999708,35,0
1900,126644.8999999708,46,0
1900,126644.8999999708,21,1
1900,126644.8999999708,42,0
1900,126644.8999999708,38,0
1900,126644.8999999708,47,0
1900,126644.8999999708,33,1
1900,126644.8999999708,38,1
1900,126644.8999999708,22,1
1900,126644.8999999708,46,0
1900,126644.8999999708,41,1
1900,126645.19999997081,50,0
1900,126645.19999997081,45,0
1900,126645.19999997081,46,0
1900,126645.19999997081,25,1
1900,126645.19999997081,34,1
1900,126645.19999997081,43,0
1900,126645.19999997081,35,0
1900,126645.19999997081,46,0
1900,126645.19999997081,21,1
1900,126645.19999997081,45,0
1900,126645.19999997081,39,0
1900,126645.19999997081,43,0
1900,126645.19999997081,37,1
1900,126645.19999997081,35,1
1900,126645.19999997081,22,1
1900,126645.19999997081,48,0
1900,126645.19999997081,41,1
1900,126645.49999997081,50,0
1900,126645.49999997081,46,0
1900,126645.49999997081,41,0
1900,126645.49999997081,26,1
1900,126645.49999997081,34,1
1900,126645.49999997081,43,0
1900,126645.49999997081,31,0
1900,126645.49999997081,47,0
1900,126645.49999997081,21,1
1900,126645.49999997081,47,0
1900,126645.49999997081,46,0
1900,126645.49999997081,46,0
1900,126645.49999997081,34,1
1900,126645.49999997081,39,1
1900,126645.49999997081,22,1
1900,126645.49999997081,48,0
1900,126645.49999997081,38,1
1900,126645.69999997081,50,0
1900,126645.69999997081,43,0
1900,126645.69999997081,47,0
1900,126645.69999997081,25,1
1900,126645.69999997081,36,1
1900,126645.69999997081,44,0
1900,126645.69999997081,38,0
1900,126645.69999997081,47,0
1900,126645.69999997081,22,1
1900,126645.69999997081,44,0
1900,126645.69999997081,45,0
1900,126645.69999997081,40,0
1900,126645.69999997081,34,1
1900,126645.69999997081,41,0
1900,126645.69999997081,23,1
1900,126645.69999997081,46,0
1900,126645.69999997081,35,1
1900,126645.8999999708,49,0
1900,126645.8999999708,44,0
1900,126645.8999999708,29,1
1900,126645.8999999708,47,0
1900,126645.8999999708,25,1
1900,126645.8999999708,38,1
1900,126645.8999999708,44,0
1900,126645.8999999708,35,0
1900,126645.8999999708,44,0
1900,126645.8999999708,22,1
1900,126645.8999999708,40,0
1900,126645.8999999708,40,0
1900,126645.8999999708,39,0
1900,126645.8999999708,34,1
1900,126645.8999999708,40,0
1900,126645.8999999708,23,1
1900,126645.8999999708,44,0
1900,126645.8999999708,37,1
1900,126646.0999999708,50,0
1900,126646.0999999708,47,0
1900,126646.0999999708,28,1
1900,126646.0999999708,52,0
1900,126646.0999999708,31,1
1900,126646.0999999708,38,1
1900,126646.0999999708,43,0
1900,126646.0999999708,31,0
1900,126646.0999999708,48,0
1900,126646.0999999708,22,1
1900,126646.0999999708,41,0
1900,126646.0999999708,41,0
1900,126646.0999999708,46,0
1900,126646.0999999708,37,1
1900,126646.0999999708,42,0
1900,126646.0999999708,23,1
1900,126646.0999999708,46,0
1900,126646.0999999708,35,1
1900,126646.3999999708,50,0
1900,126646.3999999708,48,0
1900,126646.3999999708,29,1
1900,126646.3999999708,43,0
1900,126646.3999999708,24,1
1900,126646.3999999708,37,1
1900,126646.3999999708,44,0
1900,126646.3999999708,30,1
1900,126646.3999999708,47,0
1900,126646.3999999708,22,1
1900,126646.3999999708,43,1
1900,126646.3999999708,38,0
1900,126646.3999999708,35,0
1900,126646.3999999708,34,1
1900,126646.3999999708,38,0
1900,126646.3999999708,23,1
1900,126646.3999999708,47,0
1900,126646.3999999708,26,1
1900,126646.5999999708,50,0
1900,126646.5999999708,43,0
1900,126646.5999999708,29,1
1900,126646.5999999708,44,0
1900,126646.5999999708,24,1
1900,126646.5999999708,36,1
1900,126646.5999999708,45,0
1900,126646.5999999708,34,1
1900,126646.5999999708,42,0
1900,126646.5999999708,22,1
1900,126646.5999999708,43,1
1900,126646.5999999708,38,0
1900,126646.5999999708,42,0
1900,126646.5999999708,34,1
1900,126646.5999999708,32,1
1900,126646.5999999708,22,1
1900,126646.5999999708,46,0
1900,126646.5999999708,31,1
1900,126646.7999999708,50,0
1900,126646.7999999708,46,0
1900,126646.7999999708,35,1
1900,126646.7999999708,24,1
1900,126646.7999999708,39,1
1900,126646.7999999708,46,0
1900,126646.7999999708,37,1
1900,126646.7999999708,46,0
1900,126646.7999999708,23,1
1900,126646.7999999708,44,1
1900,126646.7999999708,39,0
1900,126646.7999999708,36,0
1900,126646.7999999708,36,1
1900,126646.7999999708,37,1
1900,126646.7999999708,22,1
1900,126646.7999999708,45,0
1900,126646.7999999708,31,1
1900,126646.99999997079,49,0
1900,126646.99999997079,48,0
1900,126646.99999997079,33,1
1900,126646.99999997079,43,1
1900,126646.99999997079,24,1
1900,126646.99999997079,38,1
1900,126646.99999997079,46,0
1900,126646.99999997079,35,1
1900,126646.99999997079,40,0
1900,126646.99999997079,23,1
1900,126646.99999997079,42,1
1900,126646.99999997079,50,0
1900,126646.99999997079,38,0
1900,126646.99999997079,33,1
1900,126646.99999997079,34,1
1900,126646.99999997079,22,1
1900,126646.99999997079,46,0
1900,126646.99999997079,30,1
1900,126647.19999997079,50,0
1900,126647.19999997079,46,0
1900,126647.19999997079,30,1
1900,126647.19999997079,42,1
1900,126647.19999997079,24,1
1900,126647.19999997079,36,1
1900,126647.19999997079,45,0
1900,126647.19999997079,35,1
1900,126647.19999997079,42,0
1900,126647.19999997079,24,1
1900,126647.19999997079,40,1
1900,126647.19999997079,46,0
1900,126647.19999997079,38,0
1900,126647.19999997079,33,1
1900,126647.19999997079,37,1
1900,126647.19999997079,22,1
1900,126647.19999997079,47,0
1900,126647.19999997079,30,1
1900,126647.49999997079,50,0
1900,126647.49999997079,47,0
1900,126647.49999997079,34,1
1900,126647.49999997079,43,1
1900,126647.49999997079,24,1
1900,126647.49999997079,38,1
1900,126647.49999997079,46,0
1900,126647.49999997079,39,1
1900,126647.49999997079,43,0
1900,126647.49999997079,23,1
1900,126647.49999997079,46,1
1900,126647.49999997079,45,0
1900,126647.49999997079,41,0
1900,126647.49999997079,33,1
1900,126647.49999997079,34,1
1900,126647.49999997079,22,1
1900,126647.49999997079,48,0
1900,126647.49999997079,29,1
1900,126647.69999997079,50,0
1900,126647.69999997079,46,0
1900,126647.69999997079,30,1
1900,126647.69999997079,47,1
1900,126647.69999997079,24,1
1900,126647.69999997079,32,1
1900,126647.69999997079,44,0
1900,126647.69999997079,38,1
1900,126647.69999997079,45,0
1900,126647.69999997079,23,1
1900,126647.69999997079,35,1
1900,126647.69999997079,45,0
1900,126647.69999997079,41,0
1900,126647.69999997079,33,1
1900,126647.69999997079,30,0
1900,126647.69999997079,22,1
1900,126647.69999997079,47,0
1900,126647.69999997079,28,1
1900,126647.89999997079,50,0
1900,126647.89999997079,46,0
1900,126647.89999997079,30,1
1900,126647.89999997079,46,0
1900,126647.89999997079,25,1
1900,126647.89999997079,38,1
1900,126647.89999997079,45,0
1900,126647.89999997079,31,1
1900,126647.89999997079,45,0
1900,126647.89999997079,23,1
1900,126647.89999997079,40,1
1900,126647.89999997079,37,0
1900,126647.89999997079,38,0
1900,126647.89999997079,32,1
1900,126647.89999997079,34,0
1900,126647.89999997079,22,1
1900,126647.89999997079,46,0
1900,126647.89999997079,27,1
1900,126648.09999997079,50,0
1900,126648.09999997079,44,0
1900,126648.09999997079,34,1
1900,126648.09999997079,44,0
1900,126648.09999997079,24,1
1900,126648.09999997079,31,1
1900,126648.09999997079,45,0
1900,126648.09999997079,38,0
1900,126648.09999997079,41,0
1900,126648.09999997079,24,1
1900,126648.09999997079,41,1
1900,126648.09999997079,31,1
1900,126648.09999997079,38,0
1900,126648.09999997079,32,1
1900,126648.09999997079,36,0
1900,126648.09999997079,22,1
1900,126648.09999997079,46,0
1900,126648.09999997079,27,1
1900,126648.39999997079,50,0
1900,126648.39999997079,44,0
1900,126648.39999997079,30,1
1900,126648.39999997079,48,0
1900,126648.39999997079,24,1
1900,126648.39999997079,34,1
1900,126648.39999997079,45,0
1900,126648.39999997079,37,0
1900,126648.39999997079,42,0
1900,126648.39999997079,45,1
1900,126648.39999997079,39,1
1900,126648.39999997079,40,0
1900,126648.39999997079,36,1
1900,126648.39999997079,43,0
1900,126648.39999997079,21,1
1900,126648.39999997079,46,0
1900,126648.39999997079,27,1
1900,126648.59999997079,50,0
1900,126648.59999997079,47,0
1900,126648.59999997079,30,1
1900,126648.59999997079,46,0
1900,126648.59999997079,25,1
1900,126648.59999997079,34,1
1900,126648.59999997079,45,0
1900,126648.59999997079,32,0
1900,126648.59999997079,42,0
1900,126648.59999997079,47,0
1900,126648.59999997079,50,1
1900,126648.59999997079,39,0
1900,126648.59999997079,36,1
1900,126648.59999997079,43,0
1900,126648.59999997079,21,1
1900,126648.59999997079,46,0
1900,126648.59999997079,27,1
1900,126648.79999997078,51,0
1900,126648.79999997078,42,0
1900,126648.79999997078,46,0
1900,126648.79999997078,25,1
1900,126648.79999997078,40,1
1900,126648.79999997078,45,0
1900,126648.79999997078,41,0
1900,126648.79999997078,48,0
1900,126648.79999997078,45,0
1900,126648.79999997078,49,1
1900,126648.79999997078,49,0
1900,126648.79999997078,32,1
1900,126648.79999997078,34,0
1900,126648.79999997078,21,1
1900,126648.79999997078,47,0
1900,126648.79999997078,27,1
1900,126648.99999997078,50,0
1900,126648.99999997078,41,0
1900,126648.99999997078,30,1
1900,126648.99999997078,43,0
1900,126648.99999997078,25,1
1900,126648.99999997078,41,1
1900,126648.99999997078,45,0
1900,126648.99999997078,37,0
1900,126648.99999997078,47,0
1900,126648.99999997078,37,0
1900,126648.99999997078,49,1
1900,126648.99999997078,38,1
1900,126648.99999997078,34,0
1900,126648.99999997078,22,1
1900,126648.99999997078,46,0
1900,126649.19999997078,51,0
1900,126649.19999997078,34,0
1900,126649.19999997078,47,0
1900,126649.19999997078,25,1
1900,126649.19999997078,35,1
1900,126649.19999997078,45,0
1900,126649.19999997078,42,0
1900,126649.19999997078,49,0
1900,126649.19999997078,39,0
1900,126649.19999997078,45,0
1900,126649.19999997078,46,1
1900,126649.19999997078,37,0
1900,126649.19999997078,23,1
1900,126649.19999997078,46,0
1900,126649.39999997077,51,0
1900,126649.39999997077,37,0
1900,126649.39999997077,30,1
1900,126649.39999997077,44,0
1900,126649.39999997077,25,1
1900,126649.39999997077,38,1
1900,126649.39999997077,45,0
1900,126649.39999997077,32,0
1900,126649.39999997077,50,0
1900,126649.39999997077,44,1
1900,126649.39999997077,42,0
1900,126649.39999997077,49,1
1900,126649.39999997077,33,1
1900,126649.39999997077,34,0
1900,126649.39999997077,23,1
1900,126649.39999997077,48,0
1900,126649.59999997077,51,0
1900,126649.59999997077,45,0
1900,126649.59999997077,29,1
1900,126649.59999997077,43,0
1900,126649.59999997077,26,1
1900,126649.59999997077,38,1
1900,126649.59999997077,45,0
1900,126649.59999997077,40,0
1900,126649.59999997077,48,0
1900,126649.59999997077,47,1
1900,126649.59999997077,41,0
1900,126649.59999997077,47,1
1900,126649.59999997077,39,0
1900,126649.59999997077,23,1
1900,126649.59999997077,48,0
1900,126649.79999997077,50,0
1900,126649.79999997077,46,0
1900,126649.79999997077,45,0
1900,126649.79999997077,25,1
1900,126649.79999997077,34,1
1900,126649.79999997077,46,0
1900,126649.79999997077,40,0
1900,126649.79999997077,41,0
1900,126649.79999997077,46,1
1900,126649.79999997077,40,0
1900,126649.79999997077,37,1
1900,126649.79999997077,36,1
1900,126649.79999997077,38,0
1900,126649.79999997077,24,1
1900,126649.79999997077,48,0
1900,126649.99999997077,50,0
1900,126649.99999997077,45,0
1900,126649.99999997077,29,1
1900,126649.99999997077,43,0
1900,126649.99999997077,25,1
1900,126649.99999997077,37,1
1900,126649.99999997077,44,0
1900,126649.99999997077,43,1
1900,126649.99999997077,51,0
1900,126649.99999997077,47,1
1900,126649.99999997077,45,0
1900,126649.99999997077,47,1
1900,126649.99999997077,33,1
1900,126649.99999997077,40,1
1900,126649.99999997077,24,1
1900,126649.99999997077,49,0
1900,126650.19999997076,50,0
1900,126650.19999997076,46,0
1900,126650.19999997076,44,1
1900,126650.19999997076,25,1
1900,126650.19999997076,42,1
1900,126650.19999997076,45,0
1900,126650.19999997076,35,1
1900,126650.19999997076,48,0
1900,126650.19999997076,43,1
1900,126650.19999997076,45,0
1900,126650.19999997076,44,0
1900,126650.19999997076,34,1
1900,126650.19999997076,37,1
1900,126650.19999997076,24,1
1900,126650.19999997076,47,0
1900,126650.39999997076,50,0
1900,126650.39999997076,45,0
1900,126650.39999997076,29,1
1900,126650.39999997076,46,1
1900,126650.39999997076,25,1
1900,126650.39999997076,42,1
1900,126650.39999997076,44,0
1900,126650.39999997076,38,1
1900,126650.39999997076,49,1
1900,126650.39999997076,25,1
1900,126650.39999997076,43,0
1900,126650.39999997076,49,0
1900,126650.39999997076,47,0
1900,126650.39999997076,34,1
1900,126650.39999997076,43,1
1900,126650.39999997076,30,1
1900,126650.39999997076,47,0
1900,126650.59999997077,49,0
1900,126650.59999997077,46,0
1900,126650.59999997077,29,1
1900,126650.59999997077,48,1
1900,126650.59999997077,25,1
1900,126650.59999997077,31,1
1900,126650.59999997077,44,0
1900,126650.59999997077,42,1
1900,126650.59999997077,50,1
1900,126650.59999997077,26,1
1900,126650.59999997077,36,0
1900,126650.59999997077,46,0
1900,126650.59999997077,43,0
1900,126650.59999997077,28,1
1900,126650.59999997077,41,1
1900,126650.59999997077,34,1
1900,126650.59999997077,45,0
1900,126650.79999997075,50,0
1900,126650.79999997075,47,0
1900,126650.79999997075,29,1
1900,126650.79999997075,50,1
1900,126650.79999997075,26,1
1900,126650.79999997075,31,1
1900,126650.79999997075,44,0
1900,126650.79999997075,39,1
1900,126650.79999997075,48,1
1900,126650.79999997075,26,1
1900,126650.79999997075,36,0
1900,126650.79999997075,48,0
1900,126650.79999997075,47,0
1900,126650.79999997075,42,1
1900,126650.79999997075,45,0
1900,126650.99999997075,51,0
1900,126650.99999997075,47,0
1900,126650.99999997075,29,1
1900,126650.99999997075,50,1
1900,126650.99999997075,26,1
1900,126650.99999997075,37,1
1900,126650.99999997075,44,0
1900,126650.99999997075,42,0
1900,126650.99999997075,49,1
1900,126650.99999997075,25,1
1900,126650.99999997075,39,0
1900,126650.99999997075,48,0
1900,126650.99999997075,49,0
1900,126650.99999997075,29,1
1900,126650.99999997075,44,0
1900,126650.99999997075,44,0
1900,126651.19999997075,50,0
1900,126651.19999997075,46,0
1900,126651.19999997075,34,1
1900,126651.19999997075,50,0
1900,126651.19999997075,26,1
1900,126651.19999997075,44,0
1900,126651.19999997075,40,0
1900,126651.19999997075,49,1
1900,126651.19999997075,25,1
1900,126651.19999997075,44,0
1900,126651.19999997075,45,0
1900,126651.19999997075,48,0
1900,126651.19999997075,33,1
1900,126651.19999997075,41,0
1900,126651.19999997075,37,0
1900,126651.39999997075,50,0
1900,126651.39999997075,46,0
1900,126651.39999997075,30,1
1900,126651.39999997075,49,0
1900,126651.39999997075,27,1
1900,126651.39999997075,39,1
1900,126651.39999997075,45,0
1900,126651.39999997075,46,0
1900,126651.39999997075,49,0
1900,126651.39999997075,25,1
1900,126651.39999997075,46,0
1900,126651.39999997075,44,0
1900,126651.39999997075,47,0
1900,126651.39999997075,33,1
1900,126651.39999997075,42,0
1900,126651.39999997075,44,0
1900,126651.39999997075,35,0
1900,126651.59999997074,49,0
1900,126651.59999997074,46,0
1900,126651.59999997074,30,1
1900,126651.59999997074,48,0
1900,126651.59999997074,27,1
1900,126651.59999997074,34,1
1900,126651.59999997074,45,0
1900,126651.59999997074,38,0
1900,126651.59999997074,44,0
1900,126651.59999997074,26,1
1900,126651.59999997074,45,0
1900,126651.59999997074,43,0
1900,126651.59999997074,45,0
1900,126651.59999997074,33,1
1900,126651.59999997074,44,0
1900,126651.59999997074,43,0
1900,126651.59999997074,35,0
1900,126651.89999997075,50,0
1900,126651.89999997075,46,0
1900,126651.89999997075,45,0
1900,126651.89999997075,31,1
1900,126651.89999997075,40,1
1900,126651.89999997075,46,0
1900,126651.89999997075,43,0
1900,126651.89999997075,48,0
1900,126651.89999997075,46,0
1900,126651.89999997075,45,1
1900,126651.89999997075,44,0
1900,126651.89999997075,33,1
1900,126651.89999997075,43,0
1900,126651.89999997075,45,0
1900,126651.89999997075,27,0
1900,126652.09999997074,50,0
1900,126652.09999997074,45,0
1900,126652.09999997074,47,0
1900,126652.09999997074,31,1
1900,126652.09999997074,38,1
1900,126652.09999997074,46,0
1900,126652.09999997074,45,0
1900,126652.09999997074,45,1
1900,126652.09999997074,47,0
1900,126652.09999997074,44,1
1900,126652.09999997074,45,0
1900,126652.09999997074,29,1
1900,126652.09999997074,44,0
1900,126652.09999997074,45,0
1900,126652.09999997074,33,0
1900,126652.29999997074,49,0
1900,126652.29999997074,45,0
1900,126652.29999997074,48,0
1900,126652.29999997074,31,1
1900,126652.29999997074,33,1
1900,126652.29999997074,46,0
1900,126652.29999997074,47,0
1900,126652.29999997074,43,1
1900,126652.29999997074,44,0
1900,126652.29999997074,41,1
1900,126652.29999997074,44,0
1900,126652.29999997074,44,0
1900,126652.29999997074,44,0
1900,126652.29999997074,28,1
1900,126652.49999997074,50,0
1900,126652.49999997074,45,0
1900,126652.49999997074,44,0
1900,126652.49999997074,31,1
1900,126652.49999997074,36,1
1900,126652.49999997074,48,0
1900,126652.49999997074,44,0
1900,126652.49999997074,43,1
1900,126652.49999997074,44,0
1900,126652.49999997074,38,1
1900,126652.49999997074,44,0
1900,126652.49999997074,29,1
1900,126652.49999997074,47,0
1900,126652.49999997074,44,0
1900,126652.49999997074,28,1
1900,126652.69999997073,50,0
1900,126652.69999997073,46,0
1900,126652.69999997073,48,0
1900,126652.69999997073,26,1
1900,126652.69999997073,36,1
1900,126652.69999997073,48,0
1900,126652.69999997073,44,0
1900,126652.69999997073,46,1
1900,126652.69999997073,42,0
1900,126652.69999997073,38,1
1900,126652.69999997073,41,0
1900,126652.69999997073,33,1
1900,126652.69999997073,46,0
1900,126652.69999997073,40,0
1900,126652.69999997073,27,1
1900,126652.99999997074,48,0
1900,126652.99999997074,46,0
1900,126652.99999997074,28,1
1900,126652.99999997074,45,0
1900,126652.99999997074,26,1
1900,126652.99999997074,38,1
1900,126652.99999997074,46,0
1900,126652.99999997074,41,0
1900,126652.99999997074,41,1
1900,126652.99999997074,45,0
1900,126652.99999997074,45,0
1900,126652.99999997074,39,0
1900,126652.99999997074,33,1
1900,126652.99999997074,46,0
1900,126652.99999997074,45,0
1900,126652.99999997074,28,1
1900,126653.19999997073,51,0
1900,126653.19999997073,45,0
1900,126653.19999997073,32,1
1900,126653.19999997073,46,0
1900,126653.19999997073,26,1
1900,126653.19999997073,36,1
1900,126653.19999997073,46,0
1900,126653.19999997073,37,1
1900,126653.19999997073,37,0
1900,126653.19999997073,45,0
1900,126653.19999997073,41,0
1900,126653.19999997073,41,0
1900,126653.19999997073,37,1
1900,126653.19999997073,46,0
1900,126653.19999997073,44,0
1900,126653.19999997073,27,1
1900,126653.49999997074,48,0
1900,126653.49999997074,45,0
